,id,id_pais,anio,id_region,pbi,prod_carb_porc_anual,prod_carbon,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc,intensidad_carbono,CO2_emission,pm2_5_gm3,pm10_gm3,no2_gm3
0,AFG-1980,AFG,1980,0,15329836032.0,-35.709,0.691,-35.709,0.691,-36.247,18.427,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
1,AFG-1981,AFG,1981,0,15645343744.0,5.042,0.726,5.042,0.726,31.667,24.262,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.651929036444469,,,
2,AFG-1982,AFG,1982,0,15980409856.0,16.0,0.842,16.0,0.842,2.532,24.877,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0192554704717667,,,
3,AFG-1983,AFG,1983,0,16755333120.0,0.0,0.842,0.0,0.842,4.938,26.105,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.319209359684765,,,
4,AFG-1984,AFG,1984,0,17072152576.0,2.069,0.859,2.069,0.859,0.0,26.105,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.119209359684765,,,
5,AFG-1985,AFG,1985,0,17108480000.0,2.027,0.877,2.027,0.877,23.529,32.247,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.130872228381422,,,
6,AFG-1986,AFG,1986,0,17641345024.0,5.96,0.929,5.96,0.929,0.0,32.247,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.187031833712062,,,
7,AFG-1987,AFG,1987,0,15810816000.0,4.375,0.97,4.375,0.97,-5.714,30.405,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.622020476436018,,,
8,AFG-1988,AFG,1988,0,14499068928.0,-17.365,0.801,-17.365,0.801,7.071,32.554,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.293448394028868,,,
9,AFG-1989,AFG,1989,0,13489497088.0,-7.971,0.737,-7.971,0.737,-1.887,31.94,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.113538862091914,,,
10,AFG-1990,AFG,1990,0,13065984000.0,-17.323,0.61,-17.323,0.61,0.002,31.941,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.048573617602873,,,
11,AFG-1991,AFG,1991,0,12047362048.0,-10.476,0.546,-10.476,0.546,-89.423,3.378,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.852122540258769,,,
