,id,id_pais,anio,id_region,pbi,prod_carb_porc_anual,prod_carbon,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc,intensidad_carbono,CO2_emission,perdida_acum_glaciares_porc,nivel_mar,variacion_temp,pm2_5_gm3,pm10_gm3,no2_gm3
0,WRL-1980,WRL,1980,6,31880978104320.0,-1.927,20968.074,-1.927,20968.074,1.322,14283.338,-4.524,35949.586,14.837,29.859,2.426,20857.609,0.842,14236.961,2.151,5120.469,9.382,2020.096,-4.182,35514.422,,0.0,75.0,0.031,,,,,,,1731.649,,,,711.924,,,,0.0,,0.01,,,9893.25426,-11318.0,5.6,0.265,,,
1,WRL-1981,WRL,1981,6,,2.276,21445.264,2.276,21445.264,1.734,14530.981,-5.763,33877.828,-8.578,27.297,1.4,21149.68,1.116,14395.873,2.151,5230.628,18.096,2385.643,-3.556,34251.57,,0.0,0.0,0.031,,,,,,,1768.904,,,,840.751,,,,0.0,,0.01,,,37403.94878023364,-11394.0,6.09,0.315,,,
2,WRL-1982,WRL,1982,6,,3.54,22204.449,3.54,22204.449,0.458,14597.489,-3.955,32537.877,29.033,35.223,1.115,21385.451,0.513,14469.734,1.809,5325.266,8.496,2588.317,-3.113,33185.266,,0.0,76.19,0.055,,,,,,,1800.908,,,,912.178,,,,0.0,,0.019,,,36654.82793623908,-11849.0,5.86,0.155,,,
3,WRL-1983,WRL,1983,6,,-0.303,22137.211,-0.303,22137.211,0.894,14728.06,-1.277,32122.49,26.366,44.509,3.09,22046.346,1.618,14703.833,4.268,5552.542,13.335,2933.459,-0.746,32937.605,,0.009,77.27,0.097,,,,,,,1877.769,,,,1033.813,,,,0.003,,0.033,,,36568.00468486896,-11846.0,6.19,0.32,,,
4,WRL-1984,WRL,1984,6,,4.375,23105.666,4.375,23105.666,8.559,15988.618,1.96,32752.211,20.677,53.713,4.331,23001.078,8.153,15902.68,3.387,5740.62,21.354,3559.857,2.254,33680.055,110.37,0.019,36.471,0.132,,,,,,,1941.373,,,,1254.568,,,,0.006,,0.045,,,36957.02442733478,-11902.0,6.15,0.15,,,
5,WRL-1985,WRL,1985,6,,5.067,24276.51,5.067,24276.51,2.638,16410.344,-0.875,32465.697,18.362,63.575,4.29,23987.826,2.261,16262.222,1.978,5854.194,18.68,4224.837,-0.059,33660.102,86.14,0.035,43.491,0.19,,,3748.311,37.926,1426.304,14.432,1979.782,20.032,,,1488.922,15.065,1108.861,11.22,0.012,0.0,0.064,0.001,,39205.094733206424,-12238.0,5.75,0.125,,,
6,WRL-1986,WRL,1986,6,,2.372,24852.295,2.372,24852.295,2.586,16834.785,4.94,34069.387,25.328,79.678,1.126,24258.033,0.977,16421.109,1.354,5933.473,7.107,4525.086,3.092,34700.832,29.252,0.045,116.18,0.411,,,3838.927,37.718,1432.666,14.076,2006.593,19.715,,,1594.736,15.668,1166.326,11.459,0.015,0.0,0.139,0.001,,40054.625680686564,-12782.0,5.77,0.21000000000000002,,,
7,WRL-1987,WRL,1987,6,,1.887,25321.266,1.887,25321.266,5.012,17678.578,0.231,34148.074,1.83,81.135,3.934,25212.426,5.242,17281.895,1.355,6013.859,8.779,4922.331,1.996,35393.543,-30.169,0.031,40.73,0.578,,,4057.908,38.038,1516.49,14.215,2033.778,19.064,,,1734.733,16.261,1181.094,11.071,0.011,0.0,0.195,0.002,,41022.74280533478,-12795.0,5.8,0.35,,,
8,WRL-1988,WRL,1988,6,,2.429,25936.305,2.429,25936.305,4.408,18457.768,4.274,35607.57,5.456,85.563,2.993,25967.129,4.669,18088.848,3.204,6206.563,9.022,5366.448,3.275,36552.59,-3.839,0.03,69.713,0.98,,,4200.405,37.713,1540.938,13.835,2098.947,18.845,,,1891.249,16.98,1254.357,11.262,0.01,0.0,0.332,0.003,,42327.681112935075,-13260.0,5.98,0.395,,,
9,WRL-1989,WRL,1989,6,,1.766,26394.463,1.766,26394.463,3.347,19075.629,1.207,36037.492,6.71,91.304,0.957,26215.676,4.304,18867.309,-0.531,6173.583,2.843,5518.996,1.653,37156.832,2471.835,0.775,699.137,7.835,,,4376.661,37.545,1728.516,14.828,2087.793,17.91,,,1945.011,16.685,1346.963,11.555,0.262,0.002,2.65,0.023,,43685.08410212825,-13343.0,6.16,0.295,,,
