Year;CSIRO Adjusted Sea Level;Lower Error Bound;Upper Error Bound;NOAA Adjusted Sea Level
1880;0.22;-0.95;0.95;
1881;0.22;-0.73;1.17;
1882;-0.44;-1.35;0.46;
1883;-0.23;-1.13;0.67;
1884;0.59;-0.28;1.46;
1885;0.53;-0.33;1.39;
1886;0.44;-0.38;1.26;
1887;0.22;-0.60;1.04;
1888;0.30;-0.52;1.12;
1889;0.36;-0.46;1.18;
1890;0.44;-0.37;1.26;
1891;0.37;-0.44;1.19;
1892;0.50;-0.31;1.31;
1893;0.69;-0.11;1.48;
1894;0.30;-0.55;1.15;
1895;0.77;-0.08;1.62;
1896;0.47;-0.37;1.30;
1897;0.67;-0.15;1.49;
1898;1.04;0.27;1.82;
1899;1.34;0.57;2.10;
1900;1.13;0.41;1.85;
1901;1.11;0.42;1.80;
1902;1.29;0.61;1.97;
1903;1.61;0.94;2.28;
1904;1.20;0.54;1.87;
1905;0.98;0.38;1.59;
1906;1.25;0.67;1.83;
1907;1.20;0.61;1.78;
1908;1.10;0.53;1.67;
1909;1.28;0.70;1.85;
1910;1.27;0.70;1.85;
1911;1.60;1.04;2.16;
1912;1.48;0.92;2.04;
1913;1.55;0.99;2.10;
1914;1.80;1.25;2.34;
1915;2.11;1.57;2.64;
1916;2.03;1.52;2.54;
1917;1.85;1.35;2.36;
1918;1.79;1.29;2.29;
1919;1.85;1.35;2.35;
1920;1.91;1.39;2.42;
1921;1.99;1.47;2.50;
1922;1.95;1.43;2.47;
1923;2.00;1.49;2.51;
1924;1.71;1.20;2.23;
1925;1.79;1.26;2.33;
1926;2.05;1.51;2.59;
1927;2.00;1.50;2.51;
1928;1.85;1.37;2.33;
1929;1.91;1.43;2.38;
1930;2.06;1.59;2.54;
1931;2.05;1.57;2.53;
1932;2.27;1.80;2.74;
1933;2.44;1.98;2.91;
1934;2.23;1.76;2.70;
1935;2.45;1.98;2.92;
1936;2.30;1.83;2.76;
1937;2.52;2.06;2.98;
1938;2.62;2.16;3.09;
1939;2.83;2.35;3.31;
1940;2.62;2.18;3.06;
1941;3.10;2.67;3.52;
1942;3.10;2.67;3.52;
1943;3.10;2.67;3.52;
1944;2.85;2.43;3.27;
1945;2.96;2.54;3.38;
1946;3.25;2.83;3.67;
1947;3.37;3.00;3.75;
1948;3.56;3.20;3.93;
1949;3.51;3.18;3.84;
1950;3.60;3.29;3.91;
1951;3.97;3.67;4.28;
1952;3.87;3.57;4.17;
1953;4.04;3.75;4.34;
1954;3.93;3.64;4.22;
1955;3.96;3.69;4.24;
1956;3.76;3.49;4.04;
1957;4.29;4.02;4.56;
1958;4.35;4.09;4.61;
1959;4.36;4.10;4.61;
1960;4.50;4.24;4.76;
1961;4.75;4.49;5.01;
1962;4.54;4.28;4.80;
1963;4.48;4.22;4.74;
1964;4.17;3.91;4.43;
1965;4.61;4.35;4.87;
1966;4.40;4.14;4.66;
1967;4.45;4.20;4.71;
1968;4.48;4.22;4.75;
1969;4.75;4.48;5.03;
1970;4.68;4.40;4.95;
1971;4.88;4.61;5.15;
1972;5.24;4.97;5.51;
1973;5.00;4.74;5.27;
1974;5.47;5.20;5.74;
1975;5.41;5.15;5.67;
1976;5.37;5.10;5.64;
1977;5.30;5.04;5.56;
1978;5.56;5.29;5.82;
1979;5.36;5.10;5.63;
1980;5.60;5.34;5.85;
1981;6.09;5.83;6.34;
1982;5.86;5.61;6.11;
1983;6.19;5.93;6.44;
1984;6.15;5.91;6.40;
1985;5.75;5.50;6.00;
1986;5.77;5.52;6.02;
1987;5.80;5.55;6.04;
1988;5.98;5.73;6.23;
1989;6.16;5.91;6.41;
1990;6.23;5.97;6.49;
1991;6.33;6.07;6.59;
1992;6.36;6.09;6.62;
1993;6.29;6.03;6.56;6.30
1994;6.50;6.24;6.76;6.31
1995;6.62;6.35;6.88;6.45
1996;6.79;6.52;7.05;6.63
1997;7.07;6.80;7.33;6.73
1998;6.67;6.39;6.94;6.87
1999;7.01;6.74;7.29;6.85
2000;7.06;6.79;7.33;6.92
2001;7.29;7.02;7.56;7.09
2002;7.38;7.11;7.65;7.32
2003;7.76;7.48;8.04;7.49
2004;7.74;7.46;8.02;7.51
2005;7.74;7.47;8.02;7.64
2006;7.92;7.65;8.19;7.70
2007;8.00;7.71;8.28;7.70
2008;8.35;8.08;8.62;7.91
2009;8.59;8.31;8.86;8.05
2010;8.90;8.62;9.19;8.12
2011;8.96;8.66;9.27;8.05
2012;9.33;8.99;9.66;8.46
2013;8.98;8.62;9.34;8.55
2014;8.66;;;8.66
2015;8.74;;;8.74
2016;8.95;;;8.95
2017;9.47;;;9.47
2018;9.55;;;9.55
2019;9.82;;;9.82
2020;9.93;;;9.93
2021;9.97;;;9.97
