,id_cal_aire,id_pais,anio,pm2_5_gm3,pm10_gm3,no2_gm3
0,AIR-AFG-2019,AFG,2019,119.77,0.0,0.0
1,AIR-ALB-2014,ALB,2014,0.0,15.25,0.0
2,AIR-ALB-2015,ALB,2015,43.58,101.87,74.34
3,AIR-ALB-2016,ALB,2016,42.96,87.48,63.56
4,AIR-ALB-2017,ALB,2017,0.0,0.0,24.7
5,AIR-ALB-2019,ALB,2019,10.32,0.0,0.0
6,AIR-DZA-2019,DZA,2019,21.53,0.0,0.0
14,AIR-ARG-2014,ARG,2014,10.11,0.0,0.0
15,AIR-ARG-2015,ARG,2015,10.26,27.87,0.0
16,AIR-ARG-2016,ARG,2016,0.0,26.88,15.35
17,AIR-ARG-2017,ARG,2017,0.0,25.4,19.57
18,AIR-ARG-2018,ARG,2018,0.0,24.4,16.6
19,AIR-ARG-2019,ARG,2019,0.0,25.5,18.25
20,AIR-AUS-2010,AUS,2010,91.12,106.37,0.0
21,AIR-AUS-2011,AUS,2011,75.55,97.03,0.0
22,AIR-AUS-2012,AUS,2012,115.6,160.11,15.93
23,AIR-AUS-2013,AUS,2013,188.86,398.95,60.88
24,AIR-AUS-2014,AUS,2014,164.69,567.3,77.72
25,AIR-AUS-2015,AUS,2015,143.09,573.17,106.68
26,AIR-AUS-2016,AUS,2016,143.75,501.51,132.88
27,AIR-AUS-2017,AUS,2017,21.84,84.22,23.7
28,AIR-AUS-2018,AUS,2018,24.18,94.96,20.81
29,AIR-AUS-2019,AUS,2019,462.21,1160.95,206.36
30,AIR-AUT-2010,AUT,2010,201.93,2403.22,2430.82
31,AIR-AUT-2013,AUT,2013,365.75,1991.99,2255.63
32,AIR-AUT-2014,AUT,2014,393.33,1754.48,2097.56
33,AIR-AUT-2015,AUT,2015,328.96999999999997,1723.98,2158.74
34,AIR-AUT-2016,AUT,2016,425.03000000000003,1668.98,2076.75
35,AIR-AUT-2017,AUT,2017,465.28000000000003,1726.42,2067.23
36,AIR-AUT-2018,AUT,2018,488.27,1753.35,1884.19
37,AIR-AUT-2019,AUT,2019,388.04,1503.26,1796.69
38,AIR-BHS-2018,BHS,2018,5.23,5.81,0.0
39,AIR-BHS-2019,BHS,2019,4.06,4.49,0.0
40,AIR-BHS-2020,BHS,2020,3.2,3.65,0.0
41,AIR-BHR-2000,BHR,2000,0.0,487.5,0.0
42,AIR-BHR-2001,BHR,2001,0.0,458.2,0.0
43,AIR-BHR-2002,BHR,2002,0.0,350.20000000000005,0.0
44,AIR-BHR-2003,BHR,2003,0.0,372.79999999999995,0.0
45,AIR-BHR-2004,BHR,2004,0.0,271.6,0.0
46,AIR-BHR-2006,BHR,2006,0.0,280.86,0.0
47,AIR-BHR-2007,BHR,2007,0.0,491.2,0.0
48,AIR-BHR-2008,BHR,2008,0.0,266.2,0.0
49,AIR-BHR-2009,BHR,2009,0.0,281.4,0.0
50,AIR-BHR-2010,BHR,2010,0.0,243.9,0.0
51,AIR-BHR-2011,BHR,2011,0.0,399.3,0.0
52,AIR-BHR-2012,BHR,2012,231.59,1247.86,0.0
53,AIR-BHR-2016,BHR,2016,60.75,0.0,0.0
54,AIR-BHR-2017,BHR,2017,62.64,0.0,0.0
55,AIR-BHR-2018,BHR,2018,0.0,319.11,0.0
56,AIR-BHR-2019,BHR,2019,130.17,347.86999999999995,103.25
57,AIR-BGD-2010,BGD,2010,370.6,693.6,0.0
58,AIR-BGD-2011,BGD,2011,405.9,557.0,0.0
59,AIR-BGD-2012,BGD,2012,403.9,672.2,0.0
60,AIR-BGD-2013,BGD,2013,609.98,1034.78,228.64000000000001
61,AIR-BGD-2014,BGD,2014,601.29,1148.1,261.77
62,AIR-BGD-2015,BGD,2015,594.0699999999999,903.05,280.96
63,AIR-BGD-2016,BGD,2016,404.79,622.36,0.0
64,AIR-BGD-2017,BGD,2017,452.26,1140.34,257.28
65,AIR-BGD-2018,BGD,2018,578.35,1173.55,224.75
66,AIR-BGD-2019,BGD,2019,86.48,0.0,0.0
67,AIR-BEL-2010,BEL,2010,367.88,1070.05,1326.23
68,AIR-BEL-2013,BEL,2013,414.68,1080.82,1414.84
69,AIR-BEL-2014,BEL,2014,389.61,986.6800000000001,1305.28
70,AIR-BEL-2015,BEL,2015,606.13,985.17,1282.09
71,AIR-BEL-2016,BEL,2016,597.48,950.09,1277.69
72,AIR-BEL-2017,BEL,2017,557.01,919.38,1254.71
73,AIR-BEL-2018,BEL,2018,564.83,939.12,1081.08
74,AIR-BEL-2019,BEL,2019,513.5,877.48,1068.27
75,AIR-BTN-2010,BTN,2010,0.0,47.0,0.0
76,AIR-BTN-2011,BTN,2011,0.0,253.0,0.0
77,AIR-BTN-2012,BTN,2012,0.0,376.0,0.0
78,AIR-BTN-2013,BTN,2013,0.0,373.0,0.0
79,AIR-BTN-2014,BTN,2014,0.0,439.0,0.0
80,AIR-BTN-2015,BTN,2015,0.0,317.0,0.0
83,AIR-BIH-2010,BIH,2010,64.77,49.61,51.58
84,AIR-BIH-2016,BIH,2016,129.61,257.16,128.7
85,AIR-BIH-2017,BIH,2017,195.95,280.05,186.04
86,AIR-BIH-2018,BIH,2018,99.65,316.99,174.23000000000002
87,AIR-BIH-2019,BIH,2019,116.87,278.0,126.38
88,AIR-BRA-2010,BRA,2010,50.33,1693.76,687.3
89,AIR-BRA-2011,BRA,2011,78.23,2143.16,859.66
90,AIR-BRA-2012,BRA,2012,76.53999999999999,2284.53,1053.12
91,AIR-BRA-2013,BRA,2013,198.24,2138.16,947.52
92,AIR-BRA-2014,BRA,2014,271.3,2299.21,858.22
93,AIR-BRA-2015,BRA,2015,172.35,1779.15,754.94
94,AIR-BRA-2016,BRA,2016,93.6,1030.25,551.45
95,AIR-BRA-2018,BRA,2018,137.01,935.44,541.95
96,AIR-BRA-2019,BRA,2019,138.87,980.87,542.58
97,AIR-BGR-2010,BGR,2010,190.78,1257.68,365.7
98,AIR-BGR-2013,BGR,2013,139.69,1078.22,309.62
99,AIR-BGR-2014,BGR,2014,152.15,1120.1,260.39
100,AIR-BGR-2015,BGR,2015,119.83,1023.12,292.42
101,AIR-BGR-2016,BGR,2016,96.14,883.05,322.72
102,AIR-BGR-2017,BGR,2017,136.96,984.47,312.22
103,AIR-BGR-2018,BGR,2018,137.09,857.36,272.24
104,AIR-BGR-2019,BGR,2019,115.77,841.09,293.42
105,AIR-CMR-2012,CMR,2012,248.0,311.0,0.0
106,AIR-CAN-2013,CAN,2013,764.26,474.32,0.0
107,AIR-CAN-2015,CAN,2015,1033.37,329.44,1248.5
108,AIR-CAN-2016,CAN,2016,925.46,301.83,1428.41
109,AIR-CAN-2017,CAN,2017,1105.66,301.83,1503.43
110,AIR-CAN-2018,CAN,2018,1260.66,320.5,1646.31
111,AIR-CAN-2019,CAN,2019,994.77,251.5,1565.71
112,AIR-CHL-2010,CHL,2010,284.22,765.66,234.26
113,AIR-CHL-2011,CHL,2011,288.46,832.02,238.26
114,AIR-CHL-2012,CHL,2012,276.33,712.77,0.0
115,AIR-CHL-2013,CHL,2013,577.67,1488.32,1.01
116,AIR-CHL-2014,CHL,2014,842.9,1789.59,16.560000000000002
117,AIR-CHL-2015,CHL,2015,973.17,2012.19,21.009999999999998
118,AIR-CHL-2016,CHL,2016,958.7,1721.8,50.61
119,AIR-CHL-2018,CHL,2018,15.0,38.0,0.0
120,AIR-CHL-2019,CHL,2019,704.1,1154.8700000000001,181.06
121,AIR-CHN-2011,CHN,2011,226.61,0.0,0.0
122,AIR-CHN-2012,CHN,2012,283.01,0.0,0.0
