,id_cons,id_pais,con_bio_porc_anual,con_biocomb,con_carb_porc_anual,con_carbon,en_con_carb_porc_anual,con_gas_porc_anual,con_gas,con_hydro_porc_anual,con_hydro,con_nuc_porc_anual,con_nuc,con_petr_porc_anual,con_petr,con_sol_porc_anual,con_sol,con_eol_porc_anual,con_eol
0,C-AFG-1980,AFG,,,,,,,,,,,,,,,,,
1,C-AFG-1981,AFG,,,,,,,,,,,,,,,,,
2,C-AFG-1982,AFG,,,,,,,,,,,,,,,,,
3,C-AFG-1983,AFG,,,,,,,,,,,,,,,,,
4,C-AFG-1984,AFG,,,,,,,,,,,,,,,,,
5,C-AFG-1985,AFG,,,,,,,,,,,,,,,,,
6,C-AFG-1986,AFG,,,,,,,,,,,,,,,,,
7,C-AFG-1987,AFG,,,,,,,,,,,,,,,,,
8,C-AFG-1988,AFG,,,,,,,,,,,,,,,,,
9,C-AFG-1989,AFG,,,,,,,,,,,,,,,,,
10,C-AFG-1990,AFG,,,,,,,,,,,,,,,,,
11,C-AFG-1991,AFG,,,,,,,,,,,,,,,,,
12,C-AFG-1992,AFG,,,,,,,,,,,,,,,,,
13,C-AFG-1993,AFG,,,,,,,,,,,,,,,,,
14,C-AFG-1994,AFG,,,,,,,,,,,,,,,,,
15,C-AFG-1995,AFG,,,,,,,,,,,,,,,,,
16,C-AFG-1996,AFG,,,,,,,,,,,,,,,,,
17,C-AFG-1997,AFG,,,,,,,,,,,,,,,,,
18,C-AFG-1998,AFG,,,,,,,,,,,,,,,,,
19,C-AFG-1999,AFG,,,,,,,,,,,,,,,,,
20,C-AFG-2000,AFG,,,,,,,,,,,,,,,,,
21,C-AFG-2001,AFG,,,,,,,,,,,,,,,,,
22,C-AFG-2002,AFG,,,,,,,,,,,,,,,,,
23,C-AFG-2003,AFG,,,,,,,,,,,,,,,,,
24,C-AFG-2004,AFG,,,,,,,,,,,,,,,,,
25,C-AFG-2005,AFG,,,,,,,,,,,,,,,,,
26,C-AFG-2006,AFG,,,,,,,,,,,,,,,,,
27,C-AFG-2007,AFG,,,,,,,,,,,,,,,,,
28,C-AFG-2008,AFG,,,,,,,,,,,,,,,,,
29,C-AFG-2009,AFG,,,,,,,,,,,,,,,,,
30,C-AFG-2010,AFG,,,,,,,,,,,,,,,,,
31,C-AFG-2011,AFG,,,,,,,,,,,,,,,,,
32,C-AFG-2012,AFG,,,,,,,,,,,,,,,,,
33,C-AFG-2013,AFG,,,,,,,,,,,,,,,,,
34,C-AFG-2014,AFG,,,,,,,,,,,,,,,,,
35,C-AFG-2015,AFG,,,,,,,,,,,,,,,,,
36,C-AFG-2016,AFG,,,,,,,,,,,,,,,,,
37,C-AFG-2017,AFG,,,,,,,,,,,,,,,,,
38,C-AFG-2018,AFG,,,,,,,,,,,,,,,,,
39,C-AFG-2019,AFG,,,,,,,,,,,,,,,,,
40,C-AFG-2020,AFG,,,,,,,,,,,,,,,,,
41,C-ALB-1980,ALB,,,,,,,,,,,,,,,,,
42,C-ALB-1981,ALB,,,,,,,,,,,,,,,,,
43,C-ALB-1982,ALB,,,,,,,,,,,,,,,,,
44,C-ALB-1983,ALB,,,,,,,,,,,,,,,,,
45,C-ALB-1984,ALB,,,,,,,,,,,,,,,,,
46,C-ALB-1985,ALB,,,,,,,,,,,,,,,,,
47,C-ALB-1986,ALB,,,,,,,,,,,,,,,,,
48,C-ALB-1987,ALB,,,,,,,,,,,,,,,,,
49,C-ALB-1988,ALB,,,,,,,,,,,,,,,,,
50,C-ALB-1989,ALB,,,,,,,,,,,,,,,,,
51,C-ALB-1990,ALB,,,,,,,,,,,,,,,,,
52,C-ALB-1991,ALB,,,,,,,,,,,,,,,,,
53,C-ALB-1992,ALB,,,,,,,,,,,,,,,,,
54,C-ALB-1993,ALB,,,,,,,,,,,,,,,,,
55,C-ALB-1994,ALB,,,,,,,,,,,,,,,,,
56,C-ALB-1995,ALB,,,,,,,,,,,,,,,,,
57,C-ALB-1996,ALB,,,,,,,,,,,,,,,,,
58,C-ALB-1997,ALB,,,,,,,,,,,,,,,,,
59,C-ALB-1998,ALB,,,,,,,,,,,,,,,,,
60,C-ALB-1999,ALB,,,,,,,,,,,,,,,,,
61,C-ALB-2000,ALB,,,,,,,,,,,,,,,,,
62,C-ALB-2001,ALB,,,,,,,,,,,,,,,,,
63,C-ALB-2002,ALB,,,,,,,,,,,,,,,,,
64,C-ALB-2003,ALB,,,,,,,,,,,,,,,,,
65,C-ALB-2004,ALB,,,,,,,,,,,,,,,,,
66,C-ALB-2005,ALB,,,,,,,,,,,,,,,,,
67,C-ALB-2006,ALB,,,,,,,,,,,,,,,,,
68,C-ALB-2007,ALB,,,,,,,,,,,,,,,,,
69,C-ALB-2008,ALB,,,,,,,,,,,,,,,,,
70,C-ALB-2009,ALB,,,,,,,,,,,,,,,,,
71,C-ALB-2010,ALB,,,,,,,,,,,,,,,,,
72,C-ALB-2011,ALB,,,,,,,,,,,,,,,,,
73,C-ALB-2012,ALB,,,,,,,,,,,,,,,,,
74,C-ALB-2013,ALB,,,,,,,,,,,,,,,,,
75,C-ALB-2014,ALB,,,,,,,,,,,,,,,,,
76,C-ALB-2015,ALB,,,,,,,,,,,,,,,,,
77,C-ALB-2016,ALB,,,,,,,,,,,,,,,,,
78,C-ALB-2017,ALB,,,,,,,,,,,,,,,,,
79,C-ALB-2018,ALB,,,,,,,,,,,,,,,,,
80,C-ALB-2019,ALB,,,,,,,,,,,,,,,,,
81,C-ALB-2020,ALB,,,,,,,,,,,,,,,,,
82,C-DZA-1980,DZA,,,-11.111,0.744,0.42,34.238,109.436,-11.684,0.76,,0.0,1.353,66.202,,0.0,,0.0
