,id_emision,anio,id_pais,intensidad_carbono,emision_co2,nivel_mar,perdida_acumulada_glaciares_porc,variacion_temperatura
0,E-WRL-1980,1980,WRL,,9893.25426,5.6,-11.318,0.265
1,E-WRL-1981,1981,WRL,,37403.94878023364,6.09,-11.394,0.315
2,E-WRL-1982,1982,WRL,,36654.82793623908,5.86,-11.849,0.155
3,E-WRL-1983,1983,WRL,,36568.00468486896,6.19,-11.846,0.32
4,E-WRL-1984,1984,WRL,,36957.02442733478,6.15,-11.902,0.15
5,E-WRL-1985,1985,WRL,,39205.094733206424,5.75,-12.238,0.125
6,E-WRL-1986,1986,WRL,,40054.625680686564,5.77,-12.782,0.21000000000000002
7,E-WRL-1987,1987,WRL,,41022.74280533478,5.8,-12.795,0.35
8,E-WRL-1988,1988,WRL,,42327.681112935075,5.98,-13.26,0.395
9,E-WRL-1989,1989,WRL,,43685.08410212825,6.16,-13.343,0.295
10,E-WRL-1990,1990,WRL,,44317.26031598829,6.23,-13.687,0.435
11,E-WRL-1991,1991,WRL,,44289.60581467044,6.33,-14.255,0.42
12,E-WRL-1992,1992,WRL,,43949.73542258002,6.36,-14.501,0.245
13,E-WRL-1993,1993,WRL,,43532.284293919176,6.295,-14.695,0.265
14,E-WRL-1994,1994,WRL,,43783.842160537926,6.404999999999999,-15.276,0.33
15,E-WRL-1995,1995,WRL,,44129.768533994764,6.535,-15.486,0.46
16,E-WRL-1996,1996,WRL,,45105.403081823155,6.71,-15.89,0.33499999999999996
17,E-WRL-1997,1997,WRL,,46084.32369829819,6.9,-16.487,0.5
18,E-WRL-1998,1998,WRL,,46225.70119361932,6.77,-17.31,0.635
19,E-WRL-1999,1999,WRL,,46304.328691556715,6.93,-17.697,0.43
20,E-WRL-2000,2000,WRL,447.423,46989.83256623192,6.99,-17.727,0.425
21,E-WRL-2001,2001,WRL,448.944,48516.16177291398,7.1899999999999995,-18.032,0.55
22,E-WRL-2002,2002,WRL,451.958,48926.218043654866,7.35,-18.726,0.615
23,E-WRL-2003,2003,WRL,460.851,50032.09491907727,7.625,-19.984,0.615
24,E-WRL-2004,2004,WRL,457.309,52339.61161552431,7.625,-20.703,0.565
25,E-WRL-2005,2005,WRL,459.527,55204.63906847619,7.6899999999999995,-21.405,0.675
26,E-WRL-2006,2006,WRL,462.292,57379.35330921213,7.8100000000000005,-22.595,0.62
27,E-WRL-2007,2007,WRL,470.58,59265.080250548286,7.85,-23.255,0.635
28,E-WRL-2008,2008,WRL,463.327,60167.56376123754,8.129999999999999,-23.776,0.54
29,E-WRL-2009,2009,WRL,460.781,61590.901874678646,8.32,-24.459,0.64
30,E-WRL-2010,2010,WRL,463.603,61243.65446725002,8.51,-25.158,0.705
31,E-WRL-2011,2011,WRL,471.695,65038.61074897216,8.505,-26.294,0.59
32,E-WRL-2012,2012,WRL,468.149,67266.6489745926,8.895,-26.93,0.625
33,E-WRL-2013,2013,WRL,468.889,68846.82949614046,8.765,-27.817,0.66
34,E-WRL-2014,2014,WRL,464.586,69679.80849852787,8.66,-28.652,0.74
35,E-WRL-2015,2015,WRL,456.566,69788.52010520647,8.74,,0.885
36,E-WRL-2016,2016,WRL,450.757,69503.21118624636,8.95,,0.965
37,E-WRL-2017,2017,WRL,447.113,69144.7614079103,9.47,,1.15
38,E-WRL-2018,2018,WRL,443.927,70005.80155431664,9.55,,1.47
39,E-WRL-2019,2019,WRL,435.212,71169.86699537947,9.82,,1.53
40,E-WRL-2020,2020,WRL,421.854,,9.93,,1.91
41,E-WRL-2021,2021,WRL,425.235,,9.97,,1.95
