,id_emision,id_pais,emision_co2,intensidad_carbono
0,E-AFG-1980,AFG,0.0,
1,E-ALB-1980,ALB,0.0,
2,E-DZA-1980,DZA,0.0,
3,E-ASM-1980,ASM,0.0,
4,E-AGO-1980,AGO,0.0,
5,E-ATA-1980,ATA,0.0,
6,E-ATG-1980,ATG,0.0,
7,E-ARG-1980,ARG,0.0,
8,E-AUS-1980,AUS,0.0,
9,E-AUT-1980,AUT,0.0,
10,E-BHR-1980,BHR,0.0,
11,E-BGD-1980,BGD,0.0,
12,E-BRB-1980,BRB,0.0,
13,E-BEL-1980,BEL,0.0,
14,E-BLZ-1980,BLZ,0.0,
15,E-BEN-1980,BEN,0.0,
16,E-BMU-1980,BMU,0.0,
17,E-BTN-1980,BTN,0.0,
18,E-BOL-1980,BOL,0.0,
19,E-BWA-1980,BWA,0.0,
20,E-BRA-1980,BRA,0.0,
21,E-VGB-1980,VGB,0.0,
22,E-BRN-1980,BRN,0.0,
23,E-BGR-1980,BGR,0.0,
24,E-BFA-1980,BFA,0.0,
25,E-BDI-1980,BDI,0.0,
26,E-KHM-1980,KHM,0.0,
27,E-CMR-1980,CMR,0.0,
28,E-CAN-1980,CAN,0.0,
29,E-CYM-1980,CYM,0.0,
30,E-CAF-1980,CAF,0.0,
31,E-TCD-1980,TCD,0.0,
32,E-CHL-1980,CHL,0.0,
33,E-CHN-1980,CHN,0.0,
34,E-COL-1980,COL,0.0,
35,E-COM-1980,COM,0.0,
36,E-COK-1980,COK,0.0,
37,E-CRI-1980,CRI,0.0,
38,E-CUB-1980,CUB,0.0,
39,E-CYP-1980,CYP,0.0,
40,E-DNK-1980,DNK,0.0,
41,E-DJI-1980,DJI,0.0,
42,E-DMA-1980,DMA,0.0,
43,E-DOM-1980,DOM,0.0,
44,E-ECU-1980,ECU,0.0,
45,E-EGY-1980,EGY,0.0,
46,E-SLV-1980,SLV,0.0,
47,E-GNQ-1980,GNQ,0.0,
48,E-SWZ-1980,SWZ,0.0,
49,E-ETH-1980,ETH,0.0,
50,E-FLK-1980,FLK,0.0,
51,E-FJI-1980,FJI,0.0,
52,E-FIN-1980,FIN,0.0,
53,E-FRA-1980,FRA,0.0,
54,E-GUF-1980,GUF,0.0,
55,E-PYF-1980,PYF,0.0,
56,E-GAB-1980,GAB,0.0,
57,E-DEU-1980,DEU,0.0,
58,E-GHA-1980,GHA,0.0,
59,E-GIB-1980,GIB,0.0,
60,E-GRC-1980,GRC,0.0,
61,E-GRL-1980,GRL,0.0,
62,E-GRD-1980,GRD,0.0,
63,E-GLP-1980,GLP,0.0,
64,E-GUM-1980,GUM,0.0,
65,E-GTM-1980,GTM,0.0,
66,E-GIN-1980,GIN,0.0,
67,E-GNB-1980,GNB,0.0,
68,E-GUY-1980,GUY,0.0,
69,E-HTI-1980,HTI,0.0,
