,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
0,G-WRL-1980,WRL,4458271909.0,31880978104320.0,,,,,,,1731.649,,,,711.924,,,,0.0,,0.01,
1,G-WRL-1981,WRL,4536993517.0,,,,,,,,1768.904,,,,840.751,,,,0.0,,0.01,
2,G-WRL-1982,WRL,4617383407.0,,,,,,,,1800.908,,,,912.178,,,,0.0,,0.019,
3,G-WRL-1983,WRL,4699566001.0,,,,,,,,1877.769,,,,1033.813,,,,0.003,,0.033,
4,G-WRL-1984,WRL,4784008388.0,,,,,,,,1941.373,,,,1254.568,,,,0.006,,0.045,
5,G-WRL-1985,WRL,4870918289.0,,,,3748.311,37.926,1426.304,14.432,1979.782,20.032,,,1488.922,15.065,1108.861,11.22,0.012,0.0,0.064,0.001
6,G-WRL-1986,WRL,4960564349.0,,,,3838.927,37.718,1432.666,14.076,2006.593,19.715,,,1594.736,15.668,1166.326,11.459,0.015,0.0,0.139,0.001
7,G-WRL-1987,WRL,5052517989.0,,,,4057.908,38.038,1516.49,14.215,2033.778,19.064,,,1734.733,16.261,1181.094,11.071,0.011,0.0,0.195,0.002
8,G-WRL-1988,WRL,5145421521.0,,,,4200.405,37.713,1540.938,13.835,2098.947,18.845,,,1891.249,16.98,1254.357,11.262,0.01,0.0,0.332,0.003
9,G-WRL-1989,WRL,5237436415.0,,,,4376.661,37.545,1728.516,14.828,2087.793,17.91,,,1945.011,16.685,1346.963,11.555,0.262,0.002,2.65,0.023
10,G-WRL-1990,WRL,5327523652.0,43018245636096.0,,,4459.965,37.287,1789.732,14.963,2158.743,18.048,,,2000.462,16.725,1364.747,11.41,0.388,0.003,3.632,0.03
11,G-WRL-1991,WRL,5414283749.0,,,,4556.455,37.279,1815.255,14.852,2209.059,18.073,,,2096.175,17.15,1350.083,11.046,0.505,0.004,4.087,0.033
12,G-WRL-1992,WRL,5498914070.0,,,,4648.5,37.683,1829.406,14.83,2208.46,17.903,,,2112.089,17.121,1328.292,10.768,0.467,0.004,4.733,0.038
13,G-WRL-1993,WRL,5581591553.0,,,,4724.65,37.499,1863.837,14.793,2341.458,18.584,,,2184.826,17.341,1266.686,10.054,0.557,0.004,5.698,0.045
14,G-WRL-1994,WRL,5663144159.0,,,,4890.302,37.84,1925.131,14.896,2356.196,18.231,,,2225.844,17.223,1302.172,10.076,0.597,0.005,7.123,0.055
15,G-WRL-1995,WRL,5744206433.0,,,,5037.376,37.642,2036.959,15.221,2483.679,18.559,,,2322.396,17.354,1259.934,9.415,0.639,0.005,8.262,0.062
16,G-WRL-1996,WRL,5824885327.0,,,,5277.954,38.254,2100.885,15.227,2517.025,18.243,,,2406.801,17.444,1246.048,9.031,0.699,0.005,9.205,0.067
17,G-WRL-1997,WRL,5905038800.0,,,,5393.561,38.174,2271.177,16.075,2561.03,18.126,,,2390.277,16.918,1244.686,8.81,0.75,0.005,12.018,0.085
