,id_gen,id_pais,poblacion,pbi,gen_biocomb,gen_bio_porc,gen_carbon,gen_carbon_porc,gen_gas,gen_gas_porc,gen_hidro,gen_hidro_porc,import_netas,import_netas_porc,gen_nuclear,gen_nuclear_porc,gen_petroleo,gen_petroleo_porc,gen_solar,gen_solar_porc,gen_eolica,gen_eolica_porc
0,G-AFG-1980,AFG,13356500.0,15329836032.0,,,,,,,,,,,,,,,,,,
1,G-AFG-1981,AFG,13171679.0,15645343744.0,,,,,,,,,,,,,,,,,,
2,G-AFG-1982,AFG,12882518.0,15980409856.0,,,,,,,,,,,,,,,,,,
3,G-AFG-1983,AFG,12537732.0,16755333120.0,,,,,,,,,,,,,,,,,,
4,G-AFG-1984,AFG,12204306.0,17072152576.0,,,,,,,,,,,,,,,,,,
5,G-AFG-1985,AFG,11938204.0,17108480000.0,,,,,,,,,,,,,,,,,,
6,G-AFG-1986,AFG,11736177.0,17641345024.0,,,,,,,,,,,,,,,,,,
7,G-AFG-1987,AFG,11604538.0,15810816000.0,,,,,,,,,,,,,,,,,,
8,G-AFG-1988,AFG,11618008.0,14499068928.0,,,,,,,,,,,,,,,,,,
9,G-AFG-1989,AFG,11868873.0,13489497088.0,,,,,,,,,,,,,,,,,,
10,G-AFG-1990,AFG,12412311.0,13065984000.0,,,,,,,,,,,,,,,,,,
11,G-AFG-1991,AFG,13299016.0,12047362048.0,,,,,,,,,,,,,,,,,,
12,G-AFG-1992,AFG,14485543.0,12677538816.0,,,,,,,,,,,,,,,,,,
13,G-AFG-1993,AFG,15816601.0,9834580992.0,,,,,,,,,,,,,,,,,,
14,G-AFG-1994,AFG,17075728.0,7919857152.0,,,,,,,,,,,,,,,,,,
15,G-AFG-1995,AFG,18110662.0,12307525632.0,,,,,,,,,,,,,,,,,,
16,G-AFG-1996,AFG,18853444.0,12070125568.0,,,,,,,,,,,,,,,,,,
17,G-AFG-1997,AFG,19357126.0,11850752000.0,,,,,,,,,,,,,,,,,,
18,G-AFG-1998,AFG,19737770.0,11692172288.0,,,,,,,,,,,,,,,,,,
19,G-AFG-1999,AFG,20170848.0,11517317120.0,,,,,,,,,,,,,,,,,,
