,name,iso_code
0,Afghanistan,AFG
4,Albania,ALB
5,Algeria,DZA
6,American Samoa,ASM
7,Angola,AGO
8,Antarctica,ATA
9,Antigua and Barbuda,ATG
10,Argentina,ARG
11,Armenia,ARM
12,Aruba,ABW
17,Australia,AUS
19,Austria,AUT
20,Azerbaijan,AZE
21,Bahamas,BHS
22,Bahrain,BHR
23,Bangladesh,BGD
24,Barbados,BRB
25,Belarus,BLR
26,Belgium,BEL
27,Belize,BLZ
28,Benin,BEN
29,Bermuda,BMU
30,Bhutan,BTN
31,Bolivia,BOL
32,Bosnia and Herzegovina,BIH
33,Botswana,BWA
34,Brazil,BRA
35,British Virgin Islands,VGB
36,Brunei,BRN
37,Bulgaria,BGR
38,Burkina Faso,BFA
39,Burundi,BDI
41,Cambodia,KHM
42,Cameroon,CMR
43,Canada,CAN
44,Cape Verde,CPV
45,Cayman Islands,CYM
47,Central African Republic,CAF
50,Chad,TCD
51,Chile,CHL
52,China,CHN
53,Colombia,COL
54,Comoros,COM
55,Congo,COG
56,Cook Islands,COK
57,Costa Rica,CRI
58,Cote d'Ivoire,CIV
59,Croatia,HRV
60,Cuba,CUB
61,Cyprus,CYP
62,Czechia,CZE
64,Democratic Republic of Congo,COD
65,Denmark,DNK
66,Djibouti,DJI
67,Dominica,DMA
68,Dominican Republic,DOM
72,Ecuador,ECU
73,Egypt,EGY
74,El Salvador,SLV
75,Equatorial Guinea,GNQ
76,Eritrea,ERI
77,Estonia,EST
78,Eswatini,SWZ
79,Ethiopia,ETH
87,Faeroe Islands,FRO
88,Falkland Islands,FLK
89,Fiji,FJI
90,Finland,FIN
91,France,FRA
92,French Guiana,GUF
93,French Polynesia,PYF
96,Gabon,GAB
97,Gambia,GMB
98,Georgia,GEO
99,Germany,DEU
100,Ghana,GHA
101,Gibraltar,GIB
102,Greece,GRC
103,Greenland,GRL
104,Grenada,GRD
105,Guadeloupe,GLP
106,Guam,GUM
107,Guatemala,GTM
108,Guinea,GIN
109,Guinea-Bissau,GNB
110,Guyana,GUY
111,Haiti,HTI
114,Honduras,HND
115,Hong Kong,HKG
116,Hungary,HUN
120,Iceland,ISL
122,India,IND
123,Indonesia,IDN
124,Iran,IRN
125,Iraq,IRQ
126,Ireland,IRL
127,Israel,ISR
128,Italy,ITA
129,Jamaica,JAM
130,Japan,JPN
131,Jordan,JOR
132,Kazakhstan,KAZ
133,Kenya,KEN
134,Kiribati,KIR
136,Kuwait,KWT
137,Kyrgyzstan,KGZ
138,Laos,LAO
140,Latvia,LVA
141,Lebanon,LBN
142,Lesotho,LSO
143,Liberia,LBR
144,Libya,LBY
145,Lithuania,LTU
148,Luxembourg,LUX
149,Macao,MAC
150,Madagascar,MDG
151,Malawi,MWI
152,Malaysia,MYS
153,Maldives,MDV
154,Mali,MLI
155,Malta,MLT
156,Martinique,MTQ
157,Mauritania,MRT
158,Mauritius,MUS
159,Mexico,MEX
161,Micronesia (country),FSM
167,Moldova,MDA
168,Mongolia,MNG
169,Montenegro,MNE
170,Montserrat,MSR
171,Morocco,MAR
172,Mozambique,MOZ
173,Myanmar,MMR
174,Namibia,NAM
175,Nauru,NRU
176,Nepal,NPL
177,Netherlands,NLD
178,Netherlands Antilles,ANT
179,New Caledonia,NCL
180,New Zealand,NZL
181,Nicaragua,NIC
182,Niger,NER
183,Nigeria,NGA
184,Niue,NIU
191,North Korea,PRK
192,North Macedonia,MKD
193,Northern Mariana Islands,MNP
194,Norway,NOR
207,Oman,OMN
224,Pakistan,PAK
225,Palestine,PSE
226,Panama,PAN
227,Papua New Guinea,PNG
228,Paraguay,PRY
231,Peru,PER
232,Philippines,PHL
233,Poland,POL
234,Portugal,PRT
235,Puerto Rico,PRI
236,Qatar,QAT
237,Reunion,REU
238,Romania,ROU
239,Russia,RUS
240,Rwanda,RWA
241,Saint Helena,SHN
242,Saint Kitts and Nevis,KNA
243,Saint Lucia,LCA
244,Saint Pierre and Miquelon,SPM
245,Saint Vincent and the Grenadines,VCT
246,Samoa,WSM
247,Sao Tome and Principe,STP
248,Saudi Arabia,SAU
249,Senegal,SEN
250,Serbia,SRB
252,Seychelles,SYC
253,Sierra Leone,SLE
254,Singapore,SGP
255,Slovakia,SVK
256,Slovenia,SVN
257,Solomon Islands,SLB
258,Somalia,SOM
259,South Africa,ZAF
261,South Korea,KOR
263,South Sudan,SSD
265,Spain,ESP
266,Sri Lanka,LKA
267,Sudan,SDN
268,Suriname,SUR
269,Sweden,SWE
270,Switzerland,CHE
271,Syria,SYR
272,Taiwan,TWN
273,Tajikistan,TJK
274,Tanzania,TZA
275,Thailand,THA
276,Timor,TLS
277,Togo,TGO
278,Tonga,TON
281,Trinidad and Tobago,TTO
282,Tunisia,TUN
283,Turkey,TUR
284,Turkmenistan,TKM
285,Turks and Caicos Islands,TCA
286,Tuvalu,TUV
292,Uganda,UGA
293,Ukraine,UKR
294,United Arab Emirates,ARE
295,United Kingdom,GBR
296,United States,USA
297,United States Virgin Islands,VIR
299,Uruguay,URY
300,Uzbekistan,UZB
301,Vanuatu,VUT
302,Venezuela,VEN
303,Vietnam,VNM
308,Western Sahara,ESH
309,World,WRL
310,Yemen,YEM
312,Zambia,ZMB
313,Zimbabwe,ZWE
