,id_planta,id_pais,id_tipo_planta,nombre,combustible_primario,capacidad_mw,latitud,longitud
0,0,AFG,LC,Kajaki Hydroelectric Power Plant Afghanistan,Hydro,33.0,32.322,65.119
1,1,AFG,LC,Kandahar DOG,Solar,10.0,31.67,65.795
2,2,AFG,LC,Kandahar JOL,Solar,10.0,31.623,65.792
3,3,AFG,LC,Mahipar Hydroelectric Power Plant Afghanistan,Hydro,66.0,34.556,69.4787
4,4,AFG,LC,Naghlu Dam Hydroelectric Power Plant Afghanistan,Hydro,100.0,34.641,69.717
5,5,AFG,LC,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,Hydro,11.55,34.4847,70.3633
6,6,AFG,LC,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,Hydro,6.0,35.9416,68.71
7,7,AFG,LC,Sarobi Dam Hydroelectric Power Plant Afghanistan,Hydro,22.0,34.5865,69.7757
8,8,ALB,LC,Bistrica 1,Hydro,27.0,39.9116,20.1047
9,9,ALB,LC,Fierza,Hydro,500.0,42.2514,20.0431
10,10,ALB,LC,Koman,Hydro,600.0,42.1033,19.8224
11,11,ALB,LC,Lanabregas,Hydro,5.0,41.3428,19.8964
12,12,ALB,LC,Shkopet,Hydro,24.0,41.6796,19.8305
13,13,ALB,LC,Ulez,Hydro,25.0,41.6796,19.8936
14,14,ALB,LC,Vau i Dijes,Hydro,250.0,42.0137,19.6359
15,15,DZA,LC,Adrar,Solar,20.0,27.908,-0.317
16,16,DZA,LC,Ain Azel,Solar,20.0,35.88,5.475
17,17,DZA,LC,Ain Sekhouna,Solar,20.0,34.532,0.804
18,18,DZA,LC,Ain el Ibel I,Solar,20.0,34.346,3.164
19,19,DZA,LC,Ain el Ibel II,Solar,53.0,34.342,3.169
20,20,DZA,LC,Ain el Melh,Solar,20.0,34.861,4.204
21,21,DZA,LC,Algerie Sud-Ouest,Solar,43.5,27.908,-0.317
22,22,DZA,LC,Aoulef,Solar,5.0,26.9989,1.3351
23,23,DZA,LC,Bir Rebaa,Solar,10.0,31.285,8.565
24,24,DZA,LC,Chelghoum El Aïd,Solar,15.0,36.225,6.11
25,25,DZA,LC,El Kheneg,Solar,60.0,33.727,2.811
26,26,DZA,LC,HPC Ouargla,Solar,30.0,32.602,5.834
27,27,DZA,LC,Hassi R'mel ISCC,Solar,20.0,33.123,3.356
28,28,DZA,LC,Hauts Plateaux Centre,Solar,106.6,34.342,3.169
29,29,DZA,LC,Hauts Plateaux Est,Solar,73.8,35.68,5.9861
30,30,DZA,LC,Ighil Emda,Hydro,24.0,36.4739,5.2719
31,31,DZA,LC,In Salah,Solar,5.0,27.183,2.504
32,32,DZA,LC,Labiodh Sidi Cheikh,Solar,20.0,32.945,0.555
33,33,DZA,LC,Naâma,Solar,19.9,33.274,-0.372
34,34,DZA,LC,Oued El Kebrit,Solar,15.0,35.919,7.87
35,35,DZA,LC,Oued el Ma,Solar,20.0,35.68,5.9861
36,36,DZA,LC,Ras el Oued,Solar,20.0,36.01,5.035
37,37,DZA,LC,Reggane,Solar,5.0,26.768,0.137
38,38,DZA,LC,Tamanrasset,Solar,13.0,22.849,5.45
39,39,DZA,LC,Timimoun,Solar,9.0,29.22,0.223
40,40,DZA,LC,Tindouf,Solar,9.0,27.752,-8.154
41,41,DZA,LC,Télagh,Solar,12.0,34.692,-0.601
42,42,DZA,LC,Zaouiet Kounta,Solar,6.0,27.241,-0.174
43,43,AGO,LC,Biopio (hydro),Hydro,14.6,-12.4706,13.7319
44,44,AGO,LC,Cambambe,Hydro,180.0,-9.7523,14.4809
45,45,AGO,LC,Capanda,Hydro,520.0,-9.7955,15.4672
46,46,AGO,LC,Matala,Hydro,40.0,-14.7333,15.0333
47,47,AGO,LC,Rio Luachimo,Hydro,16.0,-7.3,20.85
48,48,ATA,LC,Ross Island,Wind,1.0,-77.8428,166.7271
49,49,ARG,LC,AGUA DEL TORO,Hydro,130.0,-34.5792,-68.9892
50,50,ARG,LC,ALICURA,Hydro,1050.0,-40.58,-70.7489
51,51,ARG,LC,ALVAREZ CONDARCO,Hydro,50.7,-33.0452,-69.0516
52,52,ARG,LC,ARROYITO,Hydro,128.0,-39.1009,-68.5982
53,53,ARG,LC,ATUCHA I,Nuclear,370.0,-33.967,-59.2059
54,54,ARG,LC,ATUCHA II,Nuclear,745.0,-33.9674,-59.2045
55,55,ARG,LC,BENJAMIN REOLIN,Hydro,38.4,-32.1883,-64.3233
56,56,ARG,LC,CABRA CORRAL,Hydro,102.0,-25.2712,-65.3298
57,57,ARG,LC,CACHEUTA (NUEVA),Hydro,120.0,-33.0291,-69.1109
58,58,ARG,LC,CASA DE PIEDRA,Hydro,60.0,-38.2143,-67.1908
59,59,ARG,LC,CASSAFFOUSTH,Hydro,17.28,-31.3992,-64.2006
60,60,ARG,LC,CH LOS CARACOLES,Hydro,121.4,-31.5192,-68.9814
61,61,ARG,LC,CHIMBERA 1,Solar,2.0,-31.9881,-68.5402
62,62,ARG,LC,CIPOLLETTI,Hydro,5.78,-38.9121,-67.9427
63,63,ARG,LC,COMODORO RIVADAVIA - ANTONIO MORAN,Wind,16.56,-45.8467,-67.4964
64,64,ARG,LC,CUESTA DEL VIENTO,Hydro,10.55,-30.1833,-69.0667
65,65,ARG,LC,Cafayate,Solar,80.0,-26.04,-65.93
66,66,ARG,LC,Caldenes del Oeste,Solar,30.0,-33.61,-65.445
67,67,ARG,LC,Cauchari,Solar,300.0,-23.8,-66.8
68,68,ARG,LC,EL CADILLAL,Hydro,14.0,-26.6156,-65.1929
69,69,ARG,LC,EL CARRIZAL,Hydro,17.0,-33.2993,-68.7199
70,70,ARG,LC,EL CHOCON,Hydro,1200.0,-39.2577,-68.7483
71,71,ARG,LC,EL TIGRE,Hydro,14.4,-34.61,-68.6136
72,72,ARG,LC,EL TUNAL,Hydro,11.0,-25.2323,-64.4762
73,73,ARG,LC,EMBALSE,Nuclear,648.0,-32.2316,-64.4422
74,74,ARG,LC,ESCABA,Hydro,24.0,-27.6589,-65.7633
75,75,ARG,LC,FITZ SIMON,Hydro,10.8,-32.1784,-64.4207
76,76,ARG,LC,FLORENTINO AMEGHINO,Hydro,60.0,-43.6996,-66.4815
77,77,ARG,LC,FUTALEUFU,Hydro,472.0,-43.1288,-71.63
78,78,ARG,LC,GENERAL ACHA,Wind,1.8,-37.4309,-64.716
79,79,ARG,LC,GENERAL SAN MARTIN,Hydro,6.0,-33.0449,-68.9219
80,80,ARG,LC,GUILLERMO CESPEDES,Hydro,5.2,-39.56,-65.6817
81,81,ARG,LC,H. PICHI PICUN LEUFU,Hydro,285.0,-40.012,-69.9918
82,82,ARG,LC,Iglesia-Guañizuil,Solar,80.0,-30.34,-69.27
83,83,ARG,LC,JULIAN  ROMERO,Hydro,6.2,-38.8367,-68.038
84,84,ARG,LC,LA VIÑA,Hydro,16.0,-31.8708,-65.0349
85,85,ARG,LC,LAS MADERAS,Hydro,30.0,-24.4438,-65.2203
86,86,ARG,LC,LOS CORONELES (EX 25  DE MAYO),Hydro,6.6000000000000005,-34.6,-68.5285
87,87,ARG,LC,LOS MOLINOS I,Hydro,59.04,-31.838,-64.4452
88,88,ARG,LC,LOS MOLINOS II,Hydro,4.5,-31.838,-64.4452
