,id_prod,id_pais,prod_carb_porc_anual,prod_carbon,prod_gas_porc_anual,prod_gas,prod_petr_porc_anual,prod_petroleo
0,P-AFG-1980,AFG,-35.709,0.691,-36.247,18.427,,0.0
1,P-AFG-1981,AFG,5.042,0.726,31.667,24.262,,0.0
2,P-AFG-1982,AFG,16.0,0.842,2.532,24.877,,0.0
3,P-AFG-1983,AFG,0.0,0.842,4.938,26.105,,0.0
4,P-AFG-1984,AFG,2.069,0.859,0.0,26.105,,0.0
5,P-AFG-1985,AFG,2.027,0.877,23.529,32.247,,0.0
6,P-AFG-1986,AFG,5.96,0.929,0.0,32.247,,0.0
7,P-AFG-1987,AFG,4.375,0.97,-5.714,30.405,,0.0
8,P-AFG-1988,AFG,-17.365,0.801,7.071,32.554,,0.0
9,P-AFG-1989,AFG,-7.971,0.737,-1.887,31.94,,0.0
10,P-AFG-1990,AFG,-17.323,0.61,0.002,31.941,,0.0
11,P-AFG-1991,AFG,-10.476,0.546,-89.423,3.378,,0.0
12,P-AFG-1992,AFG,-91.489,0.046,-3.686,3.254,,0.0
13,P-AFG-1993,AFG,-12.5,0.041,0.0,3.254,,0.0
14,P-AFG-1994,AFG,-14.286,0.035,-0.042,3.252,,0.0
15,P-AFG-1995,AFG,-16.634,0.029,-33.333,2.168,,0.0
16,P-AFG-1996,AFG,-40.0,0.017,15.049,2.495,,0.0
17,P-AFG-1997,AFG,-33.333,0.012,0.0,2.495,,0.0
18,P-AFG-1998,AFG,0.0,0.012,0.0,2.495,,0.0
19,P-AFG-1999,AFG,-50.0,0.006,0.0,2.495,,0.0
20,P-AFG-2000,AFG,0.0,0.006,0.0,2.495,,0.0
21,P-AFG-2001,AFG,2498.99,0.151,-78.261,0.542,,0.0
22,P-AFG-2002,AFG,-19.231,0.122,0.0,0.542,,0.0
23,P-AFG-2003,AFG,66.666,0.203,-60.0,0.217,,0.0
24,P-AFG-2004,AFG,-2.857,0.197,0.0,0.217,,0.0
25,P-AFG-2005,AFG,-2.941,0.192,0.0,0.217,,0.0
26,P-AFG-2006,AFG,6.061,0.203,0.0,0.217,,0.0
27,P-AFG-2007,AFG,594.286,1.411,100.0,0.434,,0.0
28,P-AFG-2008,AFG,42.798,2.015,25.0,0.542,,0.0
29,P-AFG-2009,AFG,44.092,2.903,-40.0,0.325,,0.0
30,P-AFG-2010,AFG,45.0,4.209,372.996,1.539,,0.0
31,P-AFG-2011,AFG,104.138,8.592,13.742,1.751,,0.0
32,P-AFG-2012,AFG,-16.216,7.199,-0.682,1.739,,0.0
33,P-AFG-2013,AFG,8.629,7.82,-3.618,1.676,,0.0
34,P-AFG-2014,AFG,12.65,8.81,-8.155,1.539,,0.0
35,P-AFG-2015,AFG,-10.043,7.925,3.03,1.586,,0.0
36,P-AFG-2016,AFG,24.396,9.858,13.064,1.793,,0.0
37,P-AFG-2017,AFG,,,,,,
38,P-AFG-2018,AFG,,,,,,
39,P-AFG-2019,AFG,,,,,,
40,P-AFG-2020,AFG,,,,,,
41,P-ALB-1980,ALB,-31.906,3.88,-29.942,3.071,21.949,29.784
42,P-ALB-1981,ALB,8.604,4.214,10.0,3.378,-0.273,29.702
43,P-ALB-1982,ALB,10.39,4.652,-9.091,3.071,45.455,43.203
44,P-ALB-1983,ALB,8.824,5.063,10.0,3.378,17.188,50.629
45,P-ALB-1984,ALB,8.649,5.501,0.0,3.378,-26.466,37.229
46,P-ALB-1985,ALB,6.965,5.884,-9.091,3.071,-0.273,37.128
47,P-ALB-1986,ALB,0.791,5.93,40.0,4.3,0.0,37.128
48,P-ALB-1987,ALB,-1.523,5.84,14.286,4.914,-1.818,36.453
49,P-ALB-1988,ALB,2.343,5.977,56.25,7.678,-18.295,29.784
50,P-ALB-1989,ALB,0.412,6.001,0.0,7.678,6.526,31.727
51,P-ALB-1990,ALB,-5.563,5.667,-63.992,2.765,-36.17,20.251
52,P-ALB-1991,ALB,-47.513,2.975,-44.616,1.531,-36.667,12.826
53,P-ALB-1992,ALB,-66.329,1.002,-27.96,1.103,-41.947,7.446
54,P-ALB-1993,ALB,-41.53,0.586,-70.6,0.324,-0.273,7.426
55,P-ALB-1994,ALB,-21.028,0.462,0.094,0.325,0.0,7.426
56,P-ALB-1995,ALB,-52.663,0.219,0.0,0.325,-9.091,6.75
57,P-ALB-1996,ALB,41.25,0.309,-0.052,0.324,-4.74,6.431
58,P-ALB-1997,ALB,-65.487,0.107,-33.333,0.216,-3.782,6.187
59,P-ALB-1998,ALB,25.641,0.134,50.0,0.324,-31.266,4.253
60,P-ALB-1999,ALB,0.0,0.134,-33.333,0.216,-11.503,3.764
61,P-ALB-2000,ALB,-38.775,0.082,50.0,0.324,1.725,3.829
62,P-ALB-2001,ALB,-30.0,0.057,0.0,0.324,4.946,4.018
63,P-ALB-2002,ALB,-28.571,0.041,0.0,0.324,6.872,4.294
64,P-ALB-2003,ALB,286.667,0.159,0.0,0.324,5.597,4.534
65,P-ALB-2004,ALB,0.0,0.159,0.0,0.324,-0.084,4.53
66,P-ALB-2005,ALB,-22.414,0.123,0.0,0.324,4.301,4.725
67,P-ALB-2006,ALB,0.0,0.123,0.0,0.324,10.607,5.227
68,P-ALB-2007,ALB,0.0,0.123,-66.986,0.107,-17.091,4.333
69,P-ALB-2008,ALB,35.556,0.167,193.327,0.314,-6.274,4.061
70,P-ALB-2009,ALB,-83.605,0.027,0.0,0.314,-11.43,3.597
71,P-ALB-2010,ALB,0.0,0.027,-67.062,0.103,103.493,7.32
72,P-ALB-2011,ALB,-50.054,0.014,0.0,0.103,43.077,10.473
73,P-ALB-2012,ALB,0.0,0.014,70.0,0.176,8.812,11.396
74,P-ALB-2013,ALB,-39.914,0.008,11.765,0.197,0.747,11.481
75,P-ALB-2014,ALB,-100.0,0.0,68.421,0.331,20.57,13.843
76,P-ALB-2015,ALB,,0.0,9.375,0.362,-1.683,13.61
77,P-ALB-2016,ALB,,0.0,28.57,0.466,13.14,15.398
78,P-ALB-2017,ALB,,,,,,
79,P-ALB-2018,ALB,,,,,,
80,P-ALB-2019,ALB,,,,,,
81,P-ALB-2020,ALB,,,,,,
