id,date,mean
0,1958-3-01,314.43
1,1958-4-01,315.16
2,1958-5-01,314.71
3,1958-6-01,315.14
4,1958-7-01,315.18
5,1958-8-01,316.18
6,1958-9-01,316.08
7,1958-10-01,315.41
8,1958-11-01,315.2
9,1958-12-01,315.43
10,1959-1-01,315.55
11,1959-2-01,315.86
12,1959-3-01,315.38
13,1959-4-01,315.41
14,1959-5-01,315.49
15,1959-6-01,316.03
16,1959-7-01,315.86
17,1959-8-01,316.06
18,1959-9-01,316.73
19,1959-10-01,316.33
20,1959-11-01,316.68
21,1959-12-01,316.35
22,1960-1-01,316.4
23,1960-2-01,316.36
24,1960-3-01,316.28
25,1960-4-01,316.7
26,1960-5-01,317.22
27,1960-6-01,317.47
28,1960-7-01,317.52
29,1960-8-01,317.19
30,1960-9-01,317.08
31,1960-10-01,316.83
32,1960-11-01,316.88
33,1960-12-01,316.96
34,1961-1-01,316.86
35,1961-2-01,317.08
36,1961-3-01,317.26
37,1961-4-01,317.16
38,1961-5-01,317.76
39,1961-6-01,317.63
40,1961-7-01,317.88
41,1961-8-01,318.06
42,1961-9-01,317.9
43,1961-10-01,318.32
44,1961-11-01,317.99
45,1961-12-01,317.79
46,1962-1-01,317.91
47,1962-2-01,317.92
48,1962-3-01,318.39
49,1962-4-01,318.24
50,1962-5-01,318.18
51,1962-6-01,318.47
52,1962-7-01,318.92
53,1962-8-01,318.68
54,1962-9-01,319.17
55,1962-10-01,318.45
56,1962-11-01,318.58
57,1962-12-01,318.47
58,1963-1-01,318.7
59,1963-2-01,318.44
60,1963-3-01,318.57
61,1963-4-01,319.05
62,1963-5-01,319.4
63,1963-6-01,319.32
64,1963-7-01,319.05
65,1963-8-01,319.05
66,1963-9-01,319.14
67,1963-10-01,319.02
68,1963-11-01,318.97
69,1963-12-01,319.13
70,1964-1-01,319.54
71,1964-2-01,319.37
72,1964-3-01,319.41
73,1964-4-01,319.45
74,1964-5-01,319.4
75,1964-6-01,319.75
76,1964-7-01,319.77
77,1964-8-01,320.0
78,1964-9-01,319.66
79,1964-10-01,319.91
80,1964-11-01,319.58
81,1964-12-01,319.49
82,1965-1-01,319.4
83,1965-2-01,319.81
84,1965-3-01,319.59
85,1965-4-01,319.78
86,1965-5-01,319.3
87,1965-6-01,319.7
88,1965-7-01,320.51
89,1965-8-01,320.15
90,1965-9-01,320.77
91,1965-10-01,320.36
92,1965-11-01,320.78
93,1965-12-01,320.2
94,1966-1-01,320.59
95,1966-2-01,320.96
96,1966-3-01,321.08
97,1966-4-01,321.34
98,1966-5-01,321.2
99,1966-6-01,321.57
100,1966-7-01,321.68
101,1966-8-01,321.65
102,1966-9-01,321.6
103,1966-10-01,321.17
104,1966-11-01,321.7
105,1966-12-01,321.81
106,1967-1-01,322.29
107,1967-2-01,321.86
108,1967-3-01,321.73
109,1967-4-01,322.04
110,1967-5-01,322.12
111,1967-6-01,321.91
112,1967-7-01,321.84
113,1967-8-01,322.21
114,1967-9-01,322.23
115,1967-10-01,322.47
116,1967-11-01,322.65
117,1967-12-01,322.75
118,1968-1-01,322.54
119,1968-2-01,322.51
120,1968-3-01,322.55
121,1968-4-01,322.62
122,1968-5-01,322.68
123,1968-6-01,323.19
124,1968-7-01,323.46
125,1968-8-01,323.43
126,1968-9-01,323.32
127,1968-10-01,323.33
128,1968-11-01,323.25
129,1968-12-01,323.69
130,1969-1-01,323.97
131,1969-2-01,323.77
132,1969-3-01,324.31
133,1969-4-01,324.27
134,1969-5-01,324.48
135,1969-6-01,324.51
136,1969-7-01,325.17
137,1969-8-01,324.97
138,1969-9-01,325.37
139,1969-10-01,324.88
140,1969-11-01,324.79
141,1969-12-01,324.91
142,1970-1-01,325.03
143,1970-2-01,325.34
144,1970-3-01,325.61
145,1970-4-01,325.74
146,1970-5-01,325.16
147,1970-6-01,325.46
148,1970-7-01,325.63
149,1970-8-01,325.99
150,1970-9-01,326.1
151,1970-10-01,326.18
152,1970-11-01,325.95
153,1970-12-01,325.93
154,1971-1-01,326.14
155,1971-2-01,326.03
156,1971-3-01,325.85
157,1971-4-01,325.38
158,1971-5-01,326.0
159,1971-6-01,326.36
160,1971-7-01,326.65
161,1971-8-01,326.74
162,1971-9-01,326.37
163,1971-10-01,326.69
164,1971-11-01,326.75
165,1971-12-01,326.82
166,1972-1-01,326.73
167,1972-2-01,326.98
168,1972-3-01,326.39
169,1972-4-01,327.29
170,1972-5-01,327.14
171,1972-6-01,326.88
172,1972-7-01,327.36
173,1972-8-01,327.67
174,1972-9-01,327.87
175,1972-10-01,328.33
176,1972-11-01,328.45
177,1972-12-01,328.36
178,1973-1-01,328.51
179,1973-2-01,328.91
180,1973-3-01,328.96
181,1973-4-01,329.08
182,1973-5-01,329.54
183,1973-6-01,329.84
184,1973-7-01,330.15
185,1973-8-01,330.63
186,1973-9-01,330.55
187,1973-10-01,330.32
188,1973-11-01,330.13
189,1973-12-01,329.45
190,1974-1-01,329.32
191,1974-2-01,330.05
192,1974-3-01,330.14
193,1974-4-01,330.22
194,1974-5-01,330.21
195,1974-6-01,329.79
196,1974-7-01,330.21
197,1974-8-01,330.54
198,1974-9-01,330.44
199,1974-10-01,330.52
200,1974-11-01,330.5
201,1974-12-01,330.56
202,1975-1-01,330.84
203,1975-2-01,330.85
204,1975-3-01,330.37
205,1975-4-01,330.53
206,1975-5-01,330.97
207,1975-6-01,331.01
208,1975-7-01,331.11
209,1975-8-01,331.33
210,1975-9-01,331.6
211,1975-10-01,331.61
212,1975-11-01,331.57
213,1975-12-01,331.6
214,1976-1-01,331.67
215,1976-2-01,332.13
216,1976-3-01,331.78
217,1976-4-01,332.16
218,1976-5-01,331.75
219,1976-6-01,331.56
220,1976-7-01,332.22
221,1976-8-01,332.07
222,1976-9-01,332.07
223,1976-10-01,331.97
224,1976-11-01,332.35
225,1976-12-01,332.6
226,1977-1-01,332.77
227,1977-2-01,332.57
228,1977-3-01,333.4
229,1977-4-01,333.54
230,1977-5-01,333.99
231,1977-6-01,333.79
232,1977-7-01,334.0
233,1977-8-01,333.9
234,1977-9-01,334.36
235,1977-10-01,334.5
236,1977-11-01,334.69
237,1977-12-01,334.59
238,1978-1-01,335.01
239,1978-2-01,334.59
240,1978-3-01,335.0
241,1978-4-01,335.07
242,1978-5-01,335.07
243,1978-6-01,335.59
244,1978-7-01,335.65
245,1978-8-01,335.87
246,1978-9-01,335.51
247,1978-10-01,335.71
248,1978-11-01,335.99
249,1978-12-01,335.89
250,1979-1-01,336.22
251,1979-2-01,336.0
252,1979-3-01,336.56
253,1979-4-01,336.11
254,1979-5-01,336.24
255,1979-6-01,336.83
256,1979-7-01,336.69
257,1979-8-01,337.2
258,1979-9-01,337.19
259,1979-10-01,337.57
260,1979-11-01,337.59
261,1979-12-01,337.83
262,1980-1-01,338.13
263,1980-2-01,337.85
264,1980-3-01,338.51
265,1980-4-01,338.31
266,1980-5-01,338.4
267,1980-6-01,338.85
268,1980-7-01,338.56
269,1980-8-01,339.07
270,1980-9-01,339.38
271,1980-10-01,339.4
272,1980-11-01,339.46
273,1980-12-01,339.26
274,1981-1-01,339.42
275,1981-2-01,339.97
276,1981-3-01,340.09
277,1981-4-01,340.0
278,1981-5-01,339.98
279,1981-6-01,340.05
280,1981-7-01,339.92
281,1981-8-01,339.87
282,1981-9-01,340.16
283,1981-10-01,340.39
284,1981-11-01,340.74
285,1981-12-01,340.85
286,1982-1-01,341.09
287,1982-2-01,341.15
288,1982-3-01,341.18
289,1982-4-01,341.34
290,1982-5-01,341.68
291,1982-6-01,341.42
292,1982-7-01,341.61
293,1982-8-01,341.64
294,1982-9-01,341.56
295,1982-10-01,341.77
296,1982-11-01,341.58
297,1982-12-01,341.7
298,1983-1-01,341.75
299,1983-2-01,342.24
300,1983-3-01,341.86
301,1983-4-01,342.78
302,1983-5-01,342.97
303,1983-6-01,343.29
304,1983-7-01,343.56
305,1983-8-01,343.89
306,1983-9-01,343.59
307,1983-10-01,343.86
308,1983-11-01,343.92
309,1983-12-01,344.12
310,1984-1-01,344.32
311,1984-2-01,344.38
312,1984-3-01,344.26
313,1984-4-01,344.54
314,1984-5-01,344.59
315,1984-6-01,344.72
316,1984-7-01,345.02
317,1984-8-01,345.11
318,1984-9-01,344.75
319,1984-10-01,345.19
320,1984-11-01,345.4
321,1984-12-01,345.88
322,1985-1-01,345.59
323,1985-2-01,345.91
324,1985-3-01,346.57
325,1985-4-01,346.1
326,1985-5-01,346.13
327,1985-6-01,346.22
328,1985-7-01,346.08
